epoch,seconds,loss,similarity,preserve,prompt_loss,delta_reg,d_max,ok_steps,total_steps,grad_steps,grad_total
1,101.0,-0.2218,0.222,0.0009,-0.2218,0.000214,0.03706,123,123,123,123
2,100.0,-0.2218,0.222,0.0017,-0.2219,0.000651,0.06717,123,123,123,123
3,100.0,-0.2221,0.222,0.0028,-0.2223,0.001624,0.08787,120,123,120,120
4,102.0,-0.2222,0.223,0.0036,-0.2225,0.002425,0.0943,120,123,120,120
5,101.0,-0.2223,0.223,0.0047,-0.2227,0.003238,0.09708,123,123,123,123
6,103.0,-0.2222,0.223,0.0053,-0.2226,0.00428,0.09842,123,123,123,123
7,99.0,-0.222,0.222,0.0045,-0.2224,0.003589,0.09821,123,123,123,123
8,101.0,-0.2221,0.223,0.0048,-0.2225,0.003163,0.09867,122,123,122,122
9,101.0,-0.2221,0.222,0.0048,-0.2225,0.003623,0.09903,122,123,122,122
10,102.0,-0.2221,0.222,0.0044,-0.2225,0.002937,0.0989,123,123,123,123
11,101.0,-0.2219,0.222,0.0046,-0.2223,0.003266,0.09922,122,123,122,122
12,103.0,-0.2221,0.222,0.0041,-0.2224,0.002595,0.09905,120,123,120,120
13,100.0,-0.2221,0.222,0.0039,-0.2224,0.002375,0.09906,123,123,123,123
14,100.0,-0.2221,0.222,0.0038,-0.2224,0.002294,0.09917,123,123,123,123
15,103.0,-0.2224,0.223,0.0052,-0.2228,0.003704,0.09982,122,123,122,122
16,101.0,-0.2223,0.223,0.0046,-0.2227,0.003019,0.09961,121,123,121,121
17,100.0,-0.2226,0.223,0.0057,-0.2231,0.004173,0.09983,118,123,118,118
18,104.0,-0.2225,0.223,0.0056,-0.223,0.00454,0.09988,121,123,121,121
19,101.0,-0.2224,0.223,0.0062,-0.2229,0.004701,0.09992,123,123,123,123
20,101.0,-0.2225,0.223,0.0062,-0.223,0.004729,0.0999,123,123,123,123
